org_name,exec_name,contact_email,website,,,,
Engineers Without Borders,Agata Johnston,a.johnston@randatmail.com,ewb-fake.org,,,Agata,Johnston
Girls Who Code,Rebecca Scott,r.scott@randatmail.com,gwc-fake.org,,,Rebecca,Scott
Hackers Society,Eddy Nelson,e.nelson@randatmail.com,hs-fake.org,,,Eddy,Nelson
Biomedical Engineering Society,Dainton Wright,d.wright@randatmail.com,bmes-fake.org,,,Dainton,Wright
American Institute of Chemical Engineers,Martin Walker,m.walker@randatmail.com,AICE-fake.org,,,Martin,Walker
Baja Sae,Michael Brooks,m.brooks@randatmail.com,BS-fake.org ,,,Michael,Brooks
Aeronautics Team,Evelyn Hamilton,e.hamilton@randatmail.com,CMW-fake.org ,,,Evelyn,Hamilton
MedWish,Paul Hunt,p.hunt@randatmail.com,CRT-fake.org ,,,Paul,Hunt
Rocket Team,Evelyn Martin,e.martin@randatmail.com,GHDC-fake.org ,,,Evelyn,Martin
Global Health Design Collaborative,Sam Allen,s.allen@randatmail.com,GCWS-fake.org ,,,Sam,Allen
Graduate Civil Engineering Student Association,Sam Grant,m.harrison@randatmail.com,GCES-fake.org ,,,Sam,Grant
Medical Technology Group,Amber Clark,a.clark@randatmail.com,MTG-fake.org ,,,Amber,Clark
oSTEM,Paul Moore,p.moore@randatmail.com,ostem-fake.org ,,,Paul,Moore
Society of Hispanic Professional Engineers,Kirsten Carroll,k.carroll@randatmail.com,SHPE-fake.org ,,,Kirsten,Carroll
Society of Women Engineers,Alford Phillips,a.phillips@randatmail.com,SWE-fake.org ,,,Alford,Phillips
Steel Bridge Team,Violet Ellis,v.ellis@randatmail.com,SBT-fake.org ,,,Violet,Ellis
Theta Tau,John Carter,j.carter@randatmail.com,TT-fake.org ,,,John,Carter
Women in Science and Engineering Roundtable,Ryan Spencer,r.spencer@randatmail.com,WISER-fake.org ,,,Ryan,Spencer
American Marketing Association,Joyce Stewart,j.stewart@randatmail.com,AMA-fake.org ,,,Joyce,Stewart
Association for Computing Machinery,Paige Perry,p.perry@randatmail.com,ACM-fake.org ,,,Paige,Perry
Neuroscience Society,Naomi Hunt,n.hunt@randatmail.com,CNS-fake.org ,,,Naomi,Hunt
Orchestra,Harold Martin,h.martin@randatmail.com,CUCO-fake.org ,,,Harold,Martin
Developer Student Club,Hailey Dixon,h.dixon@randatmail.com,CDSC-fake.org ,,,Hailey,Dixon
Design For America,Violet Anderson,v.anderson@randatmail.com,DFA-fake.org ,,,Violet,Anderson
Discussions Undergraduate Research Journal,Leonardo Barrett,l.barrett@randatmail.com,DURJ-fake.org ,,,Leonardo,Barrett
