project_title,project_id,project_contact,description,,time_interval,project_based_club
project1,1,tina15@hotmail.com,My pants were falling down so I added a belt.,1721,3 months,Case Western Reserve University Math Club
project2,2,rudy_stamm90@hotmail.com,A man from my future came to me today.,9899,6 months,Case Western Reserve University Girls Who Code
project3,3,remington_hyatt@gmail.com,Tom made a big donation to the hospital.,6282,2 months,Case Western Reserve University Hackers Society
project4,4,torey.legros@yahoo.com,We have bodyweight training.,5936,5 months,Case Western Reserve University Biomedical Engineering Society
project5,5,brook.bins@yahoo.com,I am on a very tight budget.,9683,1 month,Case Western Reserve University American Institute of Chemical Engineers
project6,6,bethel.spencer91@gmail.com,he is easily offended.,6297,1 year,Case Western Reserve University Baja Sae
project7,7,vito21@hotmail.com,He is younger than I am.,4156,1.5 years,Case Western Reserve University Aeronautics Team
project8,8,tiana_doyle@yahoo.com,I expect to be there this evening.,8188,8 months,Case Western Reserve University MedWish
project9,9,herminia33@hotmail.com,I dressed as a fairy last Halloween.,4482,4 years,Case Western Reserve University Rocket Team
project10,10,julien74@yahoo.com,"“Jimmy,” my grandmother warns.",5144,3 weeks,Case Western Reserve University Global Health Design Collaborative
project11,11,mireya_pacocha@gmail.com,China has a higher population than Japan.,7684,3 months,Case Western Reserve University Graduate Civil Engineering Student Association
project12,12,eloisa_marvin11@yahoo.com,You may choose what to eat from this list.,8527,6 months,Case Western Reserve University Medical Technology Group
project13,13,savanna.rolfson96@hotmail.com,I'll see to it.,9525,2 months,Case Western Reserve University oSTEM
project14,14,janis95@hotmail.com,I will make an observation.,3138,5 months,Case Western Reserve University Society of Hispanic Professional Engineers
project15,15,emil77@hotmail.com,I love rain.,1631,2 month,Case Western Reserve University Society of Women Engineers
project16,16,weston19@yahoo.com,My mother never lies.,7217,3 months,Case Western Reserve University Steel Bridge Team
project17,17,vidal63@yahoo.com,Soccer is the devil's sport.,9300,6 months,Case Western Reserve University Theta Tau
project18,18,dwight.purdy@yahoo.com,You have a red stain on your sweater.,1718,2 months,Case Western Reserve University Women in Science and Engineering Roundtable
project19,19,lauretta_fahey34@gmail.com,The window looks out on a garden.,2791,5 months,Case Western Reserve University American Marketing Association
project20,20,winfield_waters2@yahoo.com,It’s as flat as a pancake.,847,2 month,Case Western Reserve University Association for Computing Machinery
project21,21,randal7@hotmail.com,Asia has a very long and interesting history.,6475,2 year,Case Western Reserve University Neuroscience Society
project22,22,harvey.abbott68@gmail.com,They gave a big party for me.,9259,1.5 years,Case Western Reserve University Orchestra
project23,23,diamond.padberg@yahoo.com,Tom is a big shot.,5116,9 months,Case Western Reserve University Developer Student Club
project24,24,tyrique_hessel@gmail.com,My sister killed it.,3780,5 years,Case Western Reserve University Design For America
project25,25,buford_murray@hotmail.com,I have something to tell you.,9718,4 weeks,Case Western Reserve University Discussions Undergraduate Research Journal
project26,26,kathryn_padberg@yahoo.com,That movie franchise sucks.,9959,3 months,Ohio State University   Engineers Without Borders
project27,27,giuseppe_ritchie@yahoo.com,I can't believe you went skydiving last week.,3687,6 months,Ohio State University   Girls Who Code
project28,28,torey.swift97@gmail.com,He was efficient in his work.,6860,2 months,Ohio State University   Hackers Society
project29,29,gladys64@yahoo.com,The editor the newspaper hired laughed.,9743,5 months,Ohio State University   Biomedical Engineering Society
project30,30,sandrine58@gmail.com,It was a long night.,3055,3 month,Ohio State University   American Institute of Chemical Engineers
project31,31,rosa46@yahoo.com,That's why I'm broke.,9051,3 months,Ohio State University   Baja Sae
project32,32,trisha_marquardt92@yahoo.com,That is a great idea.,3461,6 months,Ohio State University   Aeronautics Team
project33,33,alize92@yahoo.com,The ocean is my favorite view.,3359,2 months,Ohio State University   MedWish
project34,34,tillman_oreilly@hotmail.com,Actions speak louder than words.,9337,5 months,Ohio State University   Rocket Team
project35,35,carey21@yahoo.com,I need to stop spending money.,7254,3 month,Ohio State University   Global Health Design Collaborative
project36,36,corine46@hotmail.com,You must have a huge family.,4067,3 year,Ohio State University   Graduate Civil Engineering Student Association
project37,37,marty_white@gmail.com,They’re as different as night and day.,9124,1.5 years,Ohio State University   Medical Technology Group
project38,38,roscoe12@hotmail.com,Tom gave Mary an obvious wink.,2735,10 months,Ohio State University   oSTEM
project39,39,cullen_koelpin@gmail.com,He wanted to get the cheese so badly.,8534,6 years,Ohio State University   Society of Hispanic Professional Engineers
project40,40,margarete.bayer91@gmail.com,Toothpaste will help keep your teeth clean.,1029,5 weeks,Ohio State University   Society of Women Engineers
